epoch,beta,kl_loss,loss,recon_loss,val_beta,val_kl_loss,val_loss,val_recon_loss
0,0.0,13.437911987304688,42.56730651855469,42.56730651855469,0.0,86.00497436523438,26.2132511138916,26.2132511138916
1,0.012500000186264515,258.9936218261719,12.157649993896484,8.920228004455566,0.012500000186264515,215.6547393798828,5.774484634399414,3.078800678253174
2,0.02500000037252903,92.69448852539062,4.72241735458374,2.4050545692443848,0.02500000037252903,36.633243560791016,3.3244597911834717,2.4086287021636963
3,0.03750000149011612,23.3712215423584,2.8347115516662598,1.9582901000976562,0.03750000149011612,13.451939582824707,2.6631698608398438,2.158722162246704
4,0.05000000074505806,10.199827194213867,2.3405754566192627,1.830584168434143,0.05000000074505806,6.863261699676514,2.4944827556610107,2.151319742202759
5,0.0625,5.667106628417969,2.244459867477417,1.890265703201294,0.0625,4.064049243927002,2.2630434036254883,2.009040355682373
6,0.07500000298023224,3.3677172660827637,2.0142147541046143,1.7616358995437622,0.07500000298023224,2.6724135875701904,2.05124568939209,1.850814700126648
7,0.08749999850988388,2.420396327972412,1.7848609685897827,1.5730761289596558,0.08749999850988388,2.285628318786621,1.8136212825775146,1.61362886428833
8,0.10000000149011612,2.5859148502349854,2.497103452682495,2.2385120391845703,0.10000000149011612,2.678914785385132,1.9839820861816406,1.7160905599594116
9,0.11249999701976776,2.2910430431365967,1.7617019414901733,1.5039596557617188,0.11249999701976776,2.49255633354187,1.8431329727172852,1.5627204179763794
10,0.125,2.2444851398468018,1.666649341583252,1.3860886096954346,0.125,2.4340710639953613,1.737048864364624,1.4327900409698486
11,0.13750000298023224,2.173983573913574,1.4910751581192017,1.1921526193618774,0.13750000298023224,2.0387136936187744,1.5599128007888794,1.2795896530151367
12,0.15000000596046448,1.911133885383606,1.4073312282562256,1.1206610202789307,0.15000000596046448,1.761344075202942,1.3708782196044922,1.1066765785217285
13,0.16249999403953552,1.5611071586608887,1.1731109619140625,0.9194310903549194,0.16249999403953552,1.4345093965530396,1.2668088674545288,1.0337010622024536
14,0.17499999701976776,1.2496365308761597,1.0092991590499878,0.7906126976013184,0.17499999701976776,1.1341958045959473,1.1976370811462402,0.9991528391838074
15,0.1875,1.0546222925186157,1.0339292287826538,0.836187481880188,0.1875,0.9209036827087402,1.0437053442001343,0.8710359334945679
16,0.20000000298023224,0.8957575559616089,0.8985756635665894,0.7194241881370544,0.20000000298023224,0.8473693132400513,1.0164215564727783,0.8469477295875549
17,0.21250000596046448,0.8023593425750732,0.8487288355827332,0.678227424621582,0.21250000596046448,0.7597889304161072,0.9883776307106018,0.8269224762916565
18,0.22499999403953552,0.7519360184669495,0.8669329285621643,0.6977472901344299,0.22499999403953552,0.7089183330535889,0.9056416749954224,0.7461350560188293
19,0.23749999701976776,0.69194096326828,0.8047191500663757,0.6403831243515015,0.23749999701976776,0.6463412046432495,0.8508116006851196,0.6973055601119995
20,0.25,0.6286822557449341,0.6884766817092896,0.5313059687614441,0.25,0.5921867489814758,0.851091742515564,0.7030450701713562
21,0.26249998807907104,0.5882313251495361,0.6639001369476318,0.5094893574714661,0.26249998807907104,0.5518779754638672,0.8324201703071594,0.6875522136688232
22,0.2750000059604645,0.5481805801391602,0.6690934896469116,0.5183438062667847,0.2750000059604645,0.51882404088974,0.7791218757629395,0.6364452838897705
23,0.2874999940395355,0.5221773982048035,0.6962029337882996,0.5460768938064575,0.2874999940395355,0.46453920006752014,0.7421627044677734,0.6086077094078064
24,0.30000001192092896,0.4678823947906494,0.6616175174713135,0.5212527513504028,0.30000001192092896,0.4208299219608307,0.6972568035125732,0.5710078477859497
25,0.3125,0.4250680208206177,0.6105261445045471,0.47769230604171753,0.3125,0.39339473843574524,0.6575043797492981,0.5345685482025146
26,0.32499998807907104,0.39057138562202454,0.5236235857009888,0.3966878652572632,0.32499998807907104,0.37306585907936096,0.6653695702552795,0.5441231727600098
27,0.3375000059604645,0.36846673488616943,0.5411513447761536,0.4167938530445099,0.3375000059604645,0.34253793954849243,0.638452410697937,0.5228458642959595
28,0.3499999940395355,0.34366586804389954,0.532770037651062,0.4124870300292969,0.3499999940395355,0.3217024803161621,0.596562922000885,0.48396703600883484
29,0.36250001192092896,0.31994327902793884,0.5120014548301697,0.3960219919681549,0.36250001192092896,0.296430379152298,0.5753334164619446,0.46787741780281067
30,0.375,0.29875895380973816,0.46202799677848816,0.34999337792396545,0.375,0.28937292098999023,0.5696320533752441,0.4611171782016754
31,0.38749998807907104,0.2866845726966858,0.44097456336021423,0.32988429069519043,0.38749998807907104,0.27234306931495667,0.5581340789794922,0.4526011347770691
32,0.4000000059604645,0.27714186906814575,0.4573360085487366,0.34647929668426514,0.4000000059604645,0.2554270029067993,0.5461333990097046,0.44396257400512695
33,0.4124999940395355,0.2515619695186615,0.4119104743003845,0.30814114212989807,0.4124999940395355,0.23388715088367462,0.541451096534729,0.4449726343154907
34,0.42500001192092896,0.2370610535144806,0.4325263500213623,0.331775426864624,0.42500001192092896,0.22616362571716309,0.47873014211654663,0.38261058926582336
35,0.4375,0.2042538970708847,0.3832583427429199,0.29389727115631104,0.4375,0.19379228353500366,0.4866321086883545,0.4018479883670807
36,0.44999998807907104,0.19088996946811676,0.41178789734840393,0.32588741183280945,0.44999998807907104,0.1805287003517151,0.45756638050079346,0.3763284683227539
37,0.4625000059604645,0.16733473539352417,0.38209637999534607,0.30470407009124756,0.4625000059604645,0.16369278728961945,0.44477778673171997,0.3690698742866516
38,0.4749999940395355,0.14792008697986603,0.3475704491138458,0.2773083746433258,0.4749999940395355,0.14137297868728638,0.4362897276878357,0.36913755536079407
39,0.48750001192092896,0.13208910822868347,0.331182599067688,0.26678916811943054,0.48750001192092896,0.1300511360168457,0.41627997159957886,0.3528800308704376
40,0.5,0.122002974152565,0.3261265158653259,0.265125036239624,0.5,0.1181756854057312,0.4022822678089142,0.3431944251060486
41,0.512499988079071,0.10940845310688019,0.3100825548171997,0.25401070713996887,0.512499988079071,0.10860732197761536,0.38044270873069763,0.3247814476490021
42,0.5249999761581421,0.10174299031496048,0.3088964819908142,0.25548139214515686,0.5249999761581421,0.09861777722835541,0.38201501965522766,0.3302406966686249
43,0.5375000238418579,0.08981940150260925,0.28556951880455017,0.23729157447814941,0.5375000238418579,0.09085065126419067,0.37679699063301086,0.32796475291252136
44,0.550000011920929,0.08900512754917145,0.28740954399108887,0.23845674097537994,0.550000011920929,0.09024427086114883,0.36922499537467957,0.31959065794944763
45,0.5625,0.08266309648752213,0.26864761114120483,0.22214964032173157,0.5625,0.08642446249723434,0.36702507734298706,0.31841132044792175
